elasticity,seed,policy,reward,revenue,peak_load,load_variance,service_ratio,final_backlog,action,selected_price
0.5,4,TOU rule,2.1690404374330052,2.9035385373719906,0.85,0.11869621128969565,0.9999999998771657,0.0,,
0.5,4,Best constant,2.6476783547317253,4.052481687289117,0.85,0.10759063020834587,0.9955674700440964,0.03608544175530235,4.0,0.5
0.5,4,Tabular Q-learning,2.317298044072346,3.300351938239987,0.85,0.10870876329903612,0.996169260756676,0.031333950460712516,,
0.5,5,Flat 0.30,1.8388239523391596,2.393032998152593,0.85,0.10811404112308255,0.9999374782219717,0.0004987524427016296,,
0.5,5,TOU rule,2.039412009376033,2.843596660799927,0.85,0.11197655561070004,0.9999999998746438,0.0,,
0.5,5,Best constant,2.524053597695106,3.973089258010544,0.85,0.10086783739357526,0.996101814677744,0.03109689693026007,4.0,0.5
0.5,5,Tabular Q-learning,2.4245570317859593,3.2868928518027904,0.85,0.11165950329653536,0.9995682163478508,0.0035804068020467983,,
0.5,6,Flat 0.30,2.0785881604256073,2.545785815353857,0.85,0.10999624481547488,0.9996719929373367,0.00278436471650121,,
0.5,6,TOU rule,2.200697037194248,2.980304338386643,0.85,0.11303677519670963,0.9999999998821968,0.0,,
0.5,6,Best constant,2.772935581858619,4.2246713593553755,0.85,0.10321339568638592,0.995359219579527,0.03939436385194285,4.0,0.5
0.5,6,Tabular Q-learning,2.361911824314344,3.4930830554801138,0.85,0.10984802847305591,0.9969208878376313,0.02576557747305029,,
0.5,7,Flat 0.30,1.962015335337027,2.3303189389707004,0.85,0.11025573169548424,0.9996877118928043,0.0024265264110300624,,
0.5,7,TOU rule,2.12960619550549,2.78329255661296,0.85,0.11367329986670738,0.9999999998713026,0.0,,
0.5,7,Best constant,2.555690193078152,3.8686998264527013,0.85,0.10220258008857404,0.9957842970322827,0.03275667007462986,4.0,0.5
0.5,7,Tabular Q-learning,2.4939527761597606,3.5085348894900577,0.85,0.1053784454416095,0.9967664648132512,0.026018444273437073,,
0.5,8,Flat 0.30,1.8855389240493514,2.471477305844988,0.85,0.11790340232968372,0.9996769975862391,0.0026618358975545736,,
0.5,8,TOU rule,2.1113953761225326,2.9537611314238355,0.85,0.12218115665882129,0.9999999998786543,0.0,,
0.5,8,Best constant,2.6118282166077553,4.10234792240256,0.85,0.11135509738368843,0.9956044130583865,0.03622367724239513,4.0,0.5
0.5,8,Tabular Q-learning,2.481324667075055,3.4311083841717607,0.85,0.11051996145865735,0.9981693264906978,0.014794435015348939,,
0.5,9,Flat 0.30,1.7323260176619517,2.4936201204919692,0.85,0.11990967288294783,0.9990453403260281,0.007942776887207875,,
0.5,9,TOU rule,1.9103551395769787,2.937657769967882,0.85,0.1224812010601289,0.9999999998798076,1.3877787807814457e-17,,
0.5,9,Best constant,2.518617996602088,4.131006418570558,0.85,0.11265263125287055,0.9930292138921941,0.057997008052655286,4.0,0.5
0.5,9,Tabular Q-learning,2.465457858334714,3.4053144514211184,0.85,0.1064431684538859,0.9989713770035237,0.008278346818736161,,
1.0,0,Flat 0.30,1.827799076136164,2.3973609809829686,0.85,0.1055682715522628,0.9991310305326913,0.006950150117752275,,
1.0,0,TOU rule,1.337770919648236,2.7547962166301794,0.85,0.11257653205239108,0.9999999998749711,0.0,,
1.0,0,Best constant,1.827799076136164,2.3973609809829686,0.85,0.1055682715522628,0.9991310305326913,0.006950150117752275,2.0,0.3
1.0,0,Tabular Q-learning,1.8274433408171407,2.859298266637996,0.85,0.11381747689691908,0.9995501600224577,0.00374395239997204,,
1.0,1,Flat 0.30,1.8503382800763717,2.470600570518366,0.85,0.10551756105297001,0.9985691612295353,0.011800320299317088,,
1.0,1,TOU rule,1.4213080596004393,2.858609342716574,0.85,0.11157927888472363,0.9999999998787458,1.3877787807814457e-17,,
1.0,1,Best constant,1.8503382800763717,2.470600570518366,0.85,0.10551756105297001,0.9985691612295353,0.011800320299317088,2.0,0.3
1.0,1,Tabular Q-learning,1.7609323043484335,2.678488477429426,0.85,0.11013716494194468,0.999999999878468,0.0,,
1.0,2,Flat 0.30,1.8466075998408111,2.461367490514037,0.85,0.1078379997710436,0.9990273874569661,0.007987624178739348,,
1.0,2,TOU rule,1.4326682396502612,2.8517606171266037,0.85,0.11470290599487705,0.9999999998782351,0.0,,
1.0,2,Best constant,1.8466075998408111,2.461367490514037,0.85,0.1078379997710436,0.9990273874569661,0.007987624178739348,2.0,0.3
1.0,2,Tabular Q-learning,1.8923632962645986,2.752310875955248,0.85,0.10481869190764626,0.9999999998798604,0.0,,
1.0,3,Flat 0.30,1.892521905875976,2.4702901043111627,0.85,0.10852364471192451,0.9995455742766253,0.003743578070617367,,
1.0,3,TOU rule,1.4218611791761275,2.871089380906831,0.85,0.11549526041333258,0.999999999878612,0.0,,
1.0,3,Best constant,1.892521905875976,2.4702901043111627,0.85,0.10852364471192451,0.9995455742766253,0.003743578070617367,2.0,0.3
1.0,3,Tabular Q-learning,1.7715598551415859,2.8354251222211246,0.85,0.11293195381503723,0.999542835889469,0.0037505546646752,,
1.0,4,Flat 0.30,1.782983713119935,2.4407539444731126,0.85,0.11321146930997307,0.9993609747499096,0.005202334756494224,,
